Organization Name,Organization Name URL,Description,B2B Binary
Planktonic AS,https://www.crunchbase.com/organization/planktonic-as,Planktonic is dedicated to the development and production of live feed and preserved feed for the aquaculture and aquarium industry.,1
Monetor,https://www.crunchbase.com/organization/monetor,"Monetor is the next generation rule-based decisionmaking tool, built to empower businesses by monitoring currency risk.",1
GroGro,https://www.crunchbase.com/organization/grogro,"GroGro offers fresh, delicious and nutritious food for kids",0
Swipload,https://www.crunchbase.com/organization/swipload,"Swipload is a Kristiansand, Norway-based operator of a logistics marketplace.",1
Aimy,https://www.crunchbase.com/organization/aimy-26c0,Aimy is a software company that provides administrative work and saved labor cost services.,1
Lifeplanner,https://www.crunchbase.com/organization/lifeplanner,Lifeplanner is a secure service for sharing of everything important in your life and for communicating your wishes for the future.,1
Geniess,https://www.crunchbase.com/organization/geniess,Geniess is an energy-tech company that enables clean electrification via accelerating distributed energy storage.,1
POWELY,https://www.crunchbase.com/organization/powely,Powely is a digital platform that simulates the economic impact and feasibility of green hydrogen projects of any size.,1
Equality Check,https://www.crunchbase.com/organization/equality-check,Equality Check is a community based platform of reviews about equality and diversity in the workplace.,0
Freepower,https://www.crunchbase.com/organization/freepower,Maker of Freepower - an electric boat totally self-sufficient by solar energy,1
Teston,https://www.crunchbase.com/organization/teston,Teston helps you make better and informed decisions by knowing how the users in your audience experience your product or service.,1
Norsjór,https://www.crunchbase.com/organization/norsjór,Norsjór develops a system that uses radiation to protect marine life in order to address the issue of biofouling on ship hulls.,1
Visonomic,https://www.crunchbase.com/organization/visonomic,Seed stage B2C SaaS Fintech - The Mobile app that serves as a digital finance management PT/robot for families with a shared economy.,0
Graphiq - Acquired by Klingit,https://www.crunchbase.com/organization/graphiq-2,Graphiq connects companies with high quality graphic designers.,1
Variment,https://www.crunchbase.com/organization/propl-as,Digital job simulations for training and recruitment in healthcare,1
Keelspot,https://www.crunchbase.com/organization/keelspot,"Keelspot is a marketplace connecting cargo with the nearest available coastal vessels, enhancing logistics efficiency and sustainability",1
Syrenna,https://www.crunchbase.com/organization/syrenna,"SYRENNA is a specialized company that focuses on the collection, processing, and visualization of data acquired through their WaterDrones.",1
FunzioNano AS,https://www.crunchbase.com/organization/funzionano-as,AS supplies industry with nano-sized hybrid polymers.,1
Rebartek,https://www.crunchbase.com/organization/rebartek,Rebartek delivers rebar as a service.,1
Capeesh,https://www.crunchbase.com/organization/sounds-good-as,Capeesh is language learning based on machine intelligence. The software teaches you industry terminology and pronunciation in a fun way.,0
FornixVR,https://www.crunchbase.com/organization/fornixvr,FornixVR is a developer of virtual reality exposure therapy solutions that focus helping to prevent and treat mental health-related issues.,0
SMOC.AI,https://www.crunchbase.com/organization/smoc-ai,"SMOC is a software solution that provides digital conversations, rewards, and data.",1
Tag Sensors,https://www.crunchbase.com/organization/tag-sensors,Tag Sensors develops a solution for temperature sensitive foods and pharmaceutical products.,1
goscore,https://www.crunchbase.com/organization/goscore,"We're passionate about financial inclusion. We make a borderless credit scoring, fair risk profiles, and a portable financial history",1
Aprila Bank,https://www.crunchbase.com/organization/aprila,Aprila Bank is a product- and technology company with a bank license offering intuitive embedded financing for SMEs.,1
ClevAir,https://www.crunchbase.com/organization/smart-plants,ClevAir quality assures indoor air quality while not wasting energy in commercial real estate. 15-35% savings,1
Brandpad,https://www.crunchbase.com/organization/brandpad,Brandpad is a platform helping companies efficiently manage their brand portfolios.,1
Staffers,https://www.crunchbase.com/organization/staffers,Staffers is a digital marketplace for finding catering jobs.,0
Sentry.co,https://www.crunchbase.com/organization/sentry-co,Sentry.co - Digital sanctuary,0
Vake,https://www.crunchbase.com/organization/vake,Vake applies intelligence to satellite images to fingerprint all vessel traffic at sea.,1
Fishency Innovation,https://www.crunchbase.com/organization/fishency-innovation,Digital sea lice counting system with 360-degree view of the fish,1
Foody,https://www.crunchbase.com/organization/foody-3fed,Foody is tool for restaurants to build a professional profile on a portal with take-away shop and dine-in order system.,1
Ocean Access,https://www.crunchbase.com/organization/ocean-access,Ocean Access is an increased operational autonomy and reliability for remote ocean & subsea monitoring.,1
Eventum,https://www.crunchbase.com/organization/eventum,Book venues for corporate and private events online.,0
Micurai,https://www.crunchbase.com/organization/micurai,Micurai is a provider of cloud-based automated client onboarding solutions for law firms.,1
Sustie,https://www.crunchbase.com/organization/sustie,Your Sustainable Shopping Assistant,0
Korall Engineering,https://www.crunchbase.com/organization/korall-engineering,Korall Engineering is a design engineering firm that uses AI software.,1
Vulkaza,https://www.crunchbase.com/organization/vulkaza,Vulkaza is a 3D print platform that connects makers and sellers with 3D printers to create sustainable and resilient products.,1
Skoog,https://www.crunchbase.com/organization/skoog-e841,Skoog uses remote sensing and AI to supply forest-based carbon credits at scale.,1
Repairable,https://www.crunchbase.com/organization/repairable,"Repairable offers repair, adaptation, and maintenance of clothes and shoes on the internet.",0
Breyta,https://www.crunchbase.com/organization/breyta-d621,"Unify and activate data from your product, CRM, support and billing tools to accelerate revenue. Without a single line of code.",1
Wanda,https://www.crunchbase.com/organization/wanda-space,A circular logistics & tech company providing easy access to space and logistics enabling the circular economy,1
Think Outside,https://www.crunchbase.com/organization/think-outside-496e,Think Outside is a technology start-up company.,0
RagnaRock Geo,https://www.crunchbase.com/organization/ragnarock-geo,RagnaRock Geo is an artificial intelligent software intended to interpret seismic data company.,1
AWAN (As We Are Now),https://www.crunchbase.com/organization/awan,Direct-to-consumer apparel brand for women based on circular principles.,0
Dimension10,https://www.crunchbase.com/organization/dimension10,Instant virtual prototyping and collaboration in Virtual Reality.,1
Powerzeek,https://www.crunchbase.com/organization/powerzeek-as,Cleantech company providing a marketplace and platform for cleaner transport fuels,1
Versor,https://www.crunchbase.com/organization/versor,Versor develops software necessary for true autonomous drone flight both indoors and outdoors.,1
VesselAdmin,https://www.crunchbase.com/organization/vesseladmin,"VesselAdmin is a digital chartering solution that integrates a procurement system with a global, real-time marketplace.",1
RQSTIVAL,https://www.crunchbase.com/organization/requestify,RQSTIVAL - Live Interactive Shows,0
Fieldmade,https://www.crunchbase.com/organization/fieldmade,"Fieldmade develops, produces, and sells fully integrated Additive Manufacturing (AM) solutions for deployed military use.",1
Livly,https://www.crunchbase.com/organization/livly-b4ff,Cloud kitchen. Restaurat-food for the home,0
Oamly,https://www.crunchbase.com/organization/oamly,An online tool for home furnishing that translates tastes and budget limitations into a personalized e-commerce experience.,0
Chew,https://www.crunchbase.com/organization/chew-94df,Chew is an entertaining platform that combines cooking classes with educational content and games for kids.,0
Built Open,https://www.crunchbase.com/organization/built-open,Built Open is a technology platform that connects construction workers directly with jobs and better opportunities.,0
AblePay Technologies,https://www.crunchbase.com/organization/ablepay-technologies,"AblePay Technologies enables mobile payment for any payment terminal, mobile or tablet.",1
Dimeq,https://www.crunchbase.com/organization/dimeq,"Dimeq is a technology company offering a new era of digital health, safety, and environment (HSE) solutions.",1
Printify,https://www.crunchbase.com/organization/printify,Printify is a smart print tool for everyone from hobbyists to professionals.,0
C-Feed AS,https://www.crunchbase.com/organization/c-feed,"C-Feed AS produces copepod eggs and live copepods for early stage feeding of marine fish, crustaceans and other marine organisms.",1
Baby Talk AS,https://www.crunchbase.com/organization/baby-talk-as,Baby Talk AS develops the next generation of baby monitors.,0
Norveda AS,https://www.crunchbase.com/organization/norveda-as,Refining and redefining human wellness and care.,0
Rask.app,https://www.crunchbase.com/organization/rask-app,RASK delivers relief from pharmacies right to the customer's door.,0
AdjuTec Pharma,https://www.crunchbase.com/organization/adjutec-pharma,AdjuTec Pharma specializes in developing antibiotic resistance breakers for the global market.,1
Payr,https://www.crunchbase.com/organization/payr,Payr is the next generation mobile banking and product comparison app,0
Tinga,https://www.crunchbase.com/organization/tinga,Tinga is a software company.,1
Tabetalt.no,https://www.crunchbase.com/organization/tabetalt-no,Tabetalt is a Norwegian e-commerce startup.,0
Tribe Insurance,https://www.crunchbase.com/organization/tribe-insurance,Insurance based on social mechanisms,0
Vignita,https://www.crunchbase.com/organization/vignita,Vignita offers a social learning platform for skilled workers.,0
Zivid AS,https://www.crunchbase.com/organization/zivid-labs-as,Zivid designs and manufactures industrial 3D color cameras for demanding robotic applications.,1
Zerolytics,https://www.crunchbase.com/organization/zerolytics,Zerolytics is building a data-driven platform to measure and monitor progress in reaching companies’ Net Zero targets.,1
Carbon Crusher,https://www.crunchbase.com/organization/carbon-crusher,Carbon Crusher offers carbon crushing as a service to public or private road owner or contractor.,0
CuttingRoom,https://www.crunchbase.com/organization/cuttingroom,"The world's fastest, collaborative, cloud native video editing and publishing tool.",1
Sunday Power,https://www.crunchbase.com/organization/sunday-power,Sunday Power develops solar cells and energy storage to provide solar systems for commercial buildings.,1
Nextera,https://www.crunchbase.com/organization/nextera-as,Nextera offers a highly versatile and innovative platform that finds its application in a broad array of fields.,1
Inherit Carbon Solutions,https://www.crunchbase.com/organization/inherit-carbon-solutions,Inherit Carbon Solutions creates durable nature-friendly carbon removal solutions.,1
Foodback,https://www.crunchbase.com/organization/foodback-4249,"Food Tech, Feedback, Customer Engagement, SaaS, Cloud, AI",1
RemBrain,https://www.crunchbase.com/organization/rembrain,"RemBrain is a software company that provides robot training, development tools and data management solution.",1
360 Logistics,https://www.crunchbase.com/organization/360-logistics-bdc3,360 Logistics is a total supplier of third-party logistics for online stores.,1
Finterai,https://www.crunchbase.com/organization/finterai,Finterai purpose is to use technology and collaboration to help address the global data sharing and privacy dilemma.,1
Beat Technology,https://www.crunchbase.com/organization/beat-no,Beat Technology is a digital platform that offers a la carte and subscription services for e-books and audiobooks to help publishers.,0
Indyriot,https://www.crunchbase.com/organization/indyriot,Indyriot engages in testing a job for a non-existing company.,1
Hyrex,https://www.crunchbase.com/organization/hyrex-f9a6,Hydrogen-Electric systems,1
Monil,https://www.crunchbase.com/organization/monil,"Monil is a startup aiming to design and deliver world-leading livestock tracking, virtual fencing, and grazing technology.",1
Ntention,https://www.crunchbase.com/organization/arveng-technologies,Ntention builds an interaction framework to intuitively interact with and operate extended reality (XR) systems and robotic assets.,1
TP Accurate,https://www.crunchbase.com/organization/tp-accurate,TP Accurate is a financial transfer pricing software platform.,1
Sharefox,https://www.crunchbase.com/organization/sharefox,Sharefox enables companies to build new businesses related to renting and sharing resources.,1
Diwala,https://www.crunchbase.com/organization/diwala,"Diwala is a SaaS platform that allows customers to hold, verify, and issue any digital credential in the world.",1
B2 Holding ASA,https://www.crunchbase.com/organization/b2-holding-limited,"B2Holding utilises its knowledgebase in countries where there are debt problems to be dealt with, but where the markets.",1
Hubro Therapeutics,https://www.crunchbase.com/organization/hubro-therapeutics,ubro Therapeutics’ vaccines induce cancer specific T cells.,1
Dynaspace,https://www.crunchbase.com/organization/dynaspace,Advancing Aquaculture Transparency,1
GasSecure,https://www.crunchbase.com/organization/gassecure,GasSecure in 2008 to develop the world’s first wireless infrared hydrocarbon gas detector.,1
CL-Invest,https://www.crunchbase.com/organization/cl-invest,"CL-Invest provides climate mitigation experts with decades of project finance, assessment, and development experience.",1
Notata,https://www.crunchbase.com/organization/notata,Notata develops software for venture capitalists and angel investors to evaluate startups.,1
ComputerWell,https://www.crunchbase.com/organization/computerwell,ComputerWell develops and creates software and digital tools that provide surveillance and data on various drilling operations.,1
Techpear,https://www.crunchbase.com/organization/techpear,Techpear IS only recruiting management software that understands you.,1
Blue Ocean Technology,https://www.crunchbase.com/organization/blue-ocean-technology,Blue Ocean Technology is a manufacturer of a sludge-based treatment machine for aquaculture projects.,1
Joystream,https://www.crunchbase.com/organization/joystream-5f91,"Joystream is a block chain-based, decentralized video platform.",0
Encap Security,https://www.crunchbase.com/organization/encap,"Encap Security is a technology company, provides solutions and mobile phone-based products for user security services.",0
LISTEN AS,https://www.crunchbase.com/organization/listen-as,"Listen AS Develops a complete hearing aid soulution that includes hardware, software and services.  ",1
Cura8,https://www.crunchbase.com/organization/cura8,Cura8 is a Norwegian health technology company developing non-invasive sensors for measuring the body’s core temperature.,1
AlgaePro,https://www.crunchbase.com/organization/algaepro,"AlgaePro develops microalgae production technology to facilitate the culture, production, and utilization of algae.",1
AdTube,https://www.crunchbase.com/organization/adtube,AdTube is a programmatic ad platform that can automate and optimize the entire advertising process.,1
Brim Explorer,https://www.crunchbase.com/organization/brim-explorer,Brim Explorer provides ocean excursions without noise or pollution onboard silent hybrid-electric ships.,1
Veritrack AS,https://www.crunchbase.com/organization/veritrack,Veritrack AS manufactures and sells delivers wireless micro transmitters with low installation cost and low operational costs.,1
Pinovo,https://www.crunchbase.com/organization/pinovo,"Pinovo is an international supplier of HSE leading, innovative, and patented technology for treatment.",1
Havkraft,https://www.crunchbase.com/organization/havkraft,"Havkraft AS, a MÃ¥lÃ¸y, Norway-based wave power company",1
Aristeia,https://www.crunchbase.com/organization/aristeia,Aristeia is develops tourniquet system for use in the military and civilian trauma care.,1
Loop Health,https://www.crunchbase.com/organization/loop-health-2,A health-focused technology startup based in Norway.,1
DIME,https://www.crunchbase.com/organization/digital-medarbeider,DIME provides digitalization and automation services to simplify the work of municipalities.,1
Scanhouse SIA,https://www.crunchbase.com/organization/scanhouse-sia,Scanhouse SIA is a manufacturer of wooden frame houses.,0
Dynamic Rock Support,https://www.crunchbase.com/organization/dynamic-rock-support,"Dynamic Rock Support is a company offering concrete structures, concrete transport and lifting and underground logistics.",1
Arctic Silicon Devices,https://www.crunchbase.com/organization/arctic-silicon-devices,Arctic Silicon Devices is a Norway-based fabless semiconductor company building standard components.,1
Listnerd,https://www.crunchbase.com/organization/listnerd,"Listnerd is a community that allows people to individually create, surf, and share lists with the listnerd community.",0
Peppster,https://www.crunchbase.com/organization/peppster,Peppster is a coaching platform for all sport where users can plan and evaluate their training with advanced analysis.,0
Bylineme,https://www.crunchbase.com/organization/bylineme,Bylineme keeps track of secure payments and copyrights.,1
RTD Renhold,https://www.crunchbase.com/organization/rtd-renhold,RTD Renhold provides extensive experience with all types of cleaning and moving.,0
Kardi Ai,https://www.crunchbase.com/organization/kardi-ai,Worry-free heart care from home enabled by commercially available trackers and cutting edge AI,0
Rossum,https://www.crunchbase.com/organization/rossum,Rossum is an AI-based cloud document gateway that provides end-to-end transactional document automation.,1
Resistant AI,https://www.crunchbase.com/organization/resistant-ai,"Resistant AI helps to protect AI systems from targeted manipulation, adversarial machine learning attacks and advanced fraud.",1
Apify,https://www.crunchbase.com/organization/apify,Apify is a web scraping and browser automation platform that can turn any website into an API.,1
Flowpay,https://www.crunchbase.com/organization/flowpay-b132,Flowpay is a software company that specializes in providing embedded financial services for SME Platforms.,1
SmartGuide,https://www.crunchbase.com/organization/smartguide,SmartGuide is a AI-powered digital guide platform that turns every phone into a personal travel guide.,0
Safetica Technologies,https://www.crunchbase.com/organization/safetica-technologies,Safetica is a data security software product that provides data loss prevention solutions to companies.,1
Supernova.io,https://www.crunchbase.com/organization/supernova-technology-ltd,Supernova connects your design and engineering data in a single design system tool to accelerate and scale your product development.,1
Oddin.gg,https://www.crunchbase.com/organization/oddin-gg,Esports odds feed provider with a focus on engagement.,1
Zuri,https://www.crunchbase.com/organization/zuri-c2c7,\BudgetBakers is a manufacturing firm that offers that builds hybrid-electric VTOL for inter-city travel.,1
Woltair,https://www.crunchbase.com/organization/topite,Woltair is a clean energy company that offers SaaS platform to act as an integrator of buildings decarbonisation services.,1
Zaitra,https://www.crunchbase.com/organization/zaitra,Zaitra helps in reducing costs in data transmission along with spacecraft onboard and artificial intelligence services.,1
Eyeball,https://www.crunchbase.com/organization/eyeball-f4a0,Eyeball operates as a digital platform for youth football.,0
Outfindo,https://www.crunchbase.com/organization/outfindo,Outfindo offers AI-driven shopping guides to make product selection easier.,1
Adam,https://www.crunchbase.com/organization/adam-d66c,Adam is a platform connecting homeowners and businesses with verified local professionals.,0
Pointee,https://www.crunchbase.com/organization/pointee,Automated analyses of RPA processes,1
Wultra,https://www.crunchbase.com/organization/wultra,"Wultra provides banks and fintech companies with easy-to-deploy, post-quantum authentication that genuinely improves customer experience.",1
Malcom Finance,https://www.crunchbase.com/organization/4trans-factoring,"B2B FinTech, Supply Chain Finance, Logistics",1
Product Fruits,https://www.crunchbase.com/organization/product-fruits,"Product Fruits enriches web application with interactive guides, hints, tips and tricks, and customer feedback.",1
Dataddo,https://www.crunchbase.com/organization/dataddo-com,"A no-code/code-friendly data integration platform. 330+ native connectors for digital tools and fast, bespoke solutions for enterprises",1
Filuta AI,https://www.crunchbase.com/organization/filuta-ai,Filuta AI is a B2B SaaS intelligent automation platform that enables the creation of composite AI solutions.,1
FaceUp,https://www.crunchbase.com/organization/faceup,FaceUp is a anonymous whistleblowing platform where employees or students can uncover the problems and challenges they are facing.,1
Readmio,https://www.crunchbase.com/organization/readmio,Readmio is a digital publisher of children's literature enhanced by a captivating audio experience.,0
Hedepy,https://www.crunchbase.com/organization/hedepy,"Hedepy is a health app that provides psychotherapy for everyone through video calls and is accessible, easy, and prejudice-free.",0
Superface,https://www.crunchbase.com/organization/superface,Superface is an IT firm offering LLM powered work automation agent for SMBs.,1
Time is Ltd.,https://www.crunchbase.com/organization/time-is-ltd,"At Time is Ltd., we provide an advanced analytical SaaS platform that delivers a holistic view of an organization collaboration patterns.",1
Boost.space,https://www.crunchbase.com/organization/boost-space,Boost Space is Combining the power of a Cloud Database with an intuitive Integration Platform to make streamline easy and enhance workflows.,1
Talsec,https://www.crunchbase.com/organization/talsec,Talsec is a mobile security application that offers in-App protection and users' security intelligence services for the financial industry.,0
NutritionPro,https://www.crunchbase.com/organization/nutritionpro,"NutritionPro digitally coordinates supply chain partners to deliver personalized, nutritious meals to busy, health-conscious customers.",1
PARTORY,https://www.crunchbase.com/organization/partory,PARTORY offers complete manufacturing solutions in engineering.,1
Smartlook,https://www.crunchbase.com/organization/smartsupp,Smartlook is a behavior analytics company that records users on websites and in mobile apps.,1
Qerko,https://www.crunchbase.com/organization/qerko,Qerko is a developer of payment platforms for restaurants.,1
Flowlance,https://www.crunchbase.com/organization/flowlance,Flowlance is a fintech company that offers a platform for calendar-powered payments for session based solopreneurs.,1
Vitadio,https://www.crunchbase.com/organization/vitadio,Vitadio develops software and online tools to help prevent and control diabetes.,0
ROI Hunter,https://www.crunchbase.com/organization/roi-hunter,ROI Hunter help e-commerce companies become more profitable by providing technology & professional guidance to achieve positive ROI.,1
Smartsupp,https://www.crunchbase.com/organization/smartsupp-2,"Smartsupp is an online shopping assistant that combines AI, chatbots, and live chat to save time and help turn visitors into customers.",1
Patron GO,https://www.crunchbase.com/organization/patron-go,Patron GO is a mobile app that automatically finds and eliminates unnecessarily high payments on users' bank accounts. (PSD2),0
Behavio,https://www.crunchbase.com/organization/behavio-5eae,Behavio is a SaaS platform that provides behavioral insights on how to maximize advertising performance.,0
Vocalls,https://www.crunchbase.com/organization/vocalls,"Vocalls offers AI powered voicebots, agent assist and live call translations to reshape contact centers.",1
Leadspicker,https://www.crunchbase.com/organization/leadspicker-com,Leadspicker utilizes machine learning to find all high-tech startups and technology firms on the internet.,1
Fitify,https://www.crunchbase.com/organization/fitify,Fitify is a fitness tech company that offers an AI-powered personal fitness coach.,0
Born Digital,https://www.crunchbase.com/organization/born-digital-d632,"Born Digital is digitalizing overall customer care, experience, and interaction by covering all channels using AI.",1
Advanto,https://www.crunchbase.com/organization/advanto,"Advanto is a financial services firm that helps employees withdraw earned wages, avoiding predatory installment products and spiraling debt.",1
Sharry,https://www.crunchbase.com/organization/sharry-europe-9815,Sharry is a Software Development firm offering workplace platform for Visitor Management and Tenant Engagement.,1
Inventoro,https://www.crunchbase.com/organization/inventoro,"Inventoro is an Al-driven Inventory forecasting, inventory replenishment, and industry-standard inventory management.",1
Wflow.com,https://www.crunchbase.com/organization/wflow-com,Wflow.com is an ERP plug-in based application helping to automate customer accounting processes,1
Ydistri,https://www.crunchbase.com/organization/ydistri,SW application for rebalancing of non-selling inventory and out-of-stock elimination in retail chains,1
Terap.io,https://www.crunchbase.com/organization/terap-io,Terap.io is an online therapy platform where users can connect with psychotherapists and avail therapy services.,0
signageOS,https://www.crunchbase.com/organization/signageos,signageOS is digital signage unification software for content management systems to access and control any digital signage hardware.,1
Rohlik,https://www.crunchbase.com/organization/rohlik,Rohlik is a grocery delivery company that offers online grocery delivery service.,0
Cruxo,https://www.crunchbase.com/organization/cruxo,"Cruxo is an advertising and marketing tech company that offers a platform that integrates data, targeting, and native ad format.",1
Yieldigo,https://www.crunchbase.com/organization/yieldigo,Yieldigo is a software designed to equip retail pricing managers with predictability for strategic and daily pricing decisions.,1
Mewery,https://www.crunchbase.com/organization/mewery-meat,Mewery is a food and beverage manufacturing firm that develops cultivated pork on a microalgae base.,1
RobosizeME,https://www.crunchbase.com/organization/robosizeme,SaaS automation as a service for travel,1
Sense Arena,https://www.crunchbase.com/organization/sense-arena-s-r-o,"Sense Arena provides Virtual Reality based athletic training with over 10,000 registered users in 42 countries, including 5 NHL teams.",0
Cyrkl,https://www.crunchbase.com/organization/cyrkl,Europe’s largest platform for industrial waste management and green sourcing used by more than 15 thousands companies.,1
CodeNOW,https://www.crunchbase.com/organization/stratox,CodeNOW is a software platform as a service enabling businesses to deliver multi and hybrid-cloud software faster and cost-efficient.,1
Wewell,https://www.crunchbase.com/organization/wewell,Wewell is an AI based tech firm offering a bar code reading services to their users for their Personalized cosmetics.,0
Zerops,https://www.crunchbase.com/organization/zerops,Zerops offers a developer-focused cloud platform for app development and maintenance.,1
Localazy,https://www.crunchbase.com/organization/localazy,Localazy is a localization management platform that translates software applications into various global languages.,1
Poetizer,https://www.crunchbase.com/organization/poetizer,Poetizer is an IT and Internet firm offering a platform to empower writers worldwide.,1
Trisbee,https://www.crunchbase.com/organization/trisbee,Trisbee is a payment solution for freelancers and online and offline businesses.,1
DYNANIC,https://www.crunchbase.com/organization/brnologic,"DYNANIC is an IT firm that provides custom development, consulting, and training for programmable logic and its verification.",1
MIWA,https://www.crunchbase.com/organization/miwa,MIWA provides reusable packaging services.,1
MADMONQ,https://www.crunchbase.com/organization/madmonq,"MADMONQ is a European startup whose innovative food supplement, developed and produced in the complex mental and physical gamers.",0
SprayVision,https://www.crunchbase.com/organization/sprayvision,"SprayVision Technology combines technology and software to analyze, evaluate, and optimize the varnishing process.",1
Dotidot,https://www.crunchbase.com/organization/ppc-bee,"Dotidot provides a simple, intuitive platform for feed management, PPC, and Meta automation.",1
Manifesto Market,https://www.crunchbase.com/organization/manifesto-market,"Manifesto Market is a hospitality group focusing on food & beverage, real estate, technology, ​and culture.",1
Investown,https://www.crunchbase.com/organization/investown,Investown is an online platform for investing in real estate-secured loans.,0
Carebot,https://www.crunchbase.com/organization/carebot-2409,Carebot offers AI-based healthcare solutions.,1
Casinvent Pharma,https://www.crunchbase.com/organization/casinvent-pharma,Casinvent Pharma develops therapeutic options for the treatment of selected malignancies.,1
AI|ffinity,https://www.crunchbase.com/organization/ai-ffinity,AI|ffinity is a health-tech company that offers molecular design by artificial intelligence and nuclear magnetic resonance.,1
Yedem,https://www.crunchbase.com/organization/yedem,"SaaS, Mobile App, Green tech",1
Campiri,https://www.crunchbase.com/organization/campiri,Campiri is an online campervan rental service that thinks about you and our planet.,0
Roivenue,https://www.crunchbase.com/organization/roivenue,Roivenue is a marketing intelligence suite that enhances marketing ROI via data integration and data-driven marketing attribution.,1
Choice,https://www.crunchbase.com/organization/choice-4282,Choice – is b2b SaaS for the restaurants.,1
Aireen,https://www.crunchbase.com/organization/aireen,Aireen is a non-invasive AI-based medical device company that screens chronic diseases by analyzing digital images of the retina.,1
HTGmedical,https://www.crunchbase.com/organization/htgmedical,"A medtech startup from Prague, Czech Republic tackling automated urine output measurement to improve ICU care.",1
FeedYou,https://www.crunchbase.com/organization/feedyou,Feedyou provides virtual assistants and AI Chatbot for enterprises.,1
Avocode,https://www.crunchbase.com/organization/avocode,Avocode is software that enables its users to export and share anything from Photoshop and Sketch designs.,0
SharpGrid,https://www.crunchbase.com/organization/sharpgrid,SharpGrid is a data and technology business that is redefining on-trade and hospitality market research.,1
Erbeo,https://www.crunchbase.com/organization/erbeo,Erbeo is a plug-in for e-commerce platforms that allows them to finance their merchants easily,1
Flatio,https://www.crunchbase.com/organization/flatio,Flatio is a housing platform that offers flexible and deposit free stays to digital nomads.,0
GoodAccess,https://www.crunchbase.com/organization/goodaccess,GoodAccess offers a SaaS platform for zero-trust global remote access.,1
Wopee.io,https://www.crunchbase.com/organization/wopee-io,Wopee is the platform for autonomous testing.,1
24 Vision System,https://www.crunchbase.com/organization/24-vision-system,24 Vision System is an artificial intelligence-based quality control platform designed to improve production efficiency..,1
Twisto,https://www.crunchbase.com/organization/twisto-payments,Twisto is a cashflow management and payment app that enables customers to pay for their online purchases with just one click.,0
Accomango,https://www.crunchbase.com/organization/accomango,"Accomango is SaaS enabled, curated B2B marketplace between companies/agencies and worker accommodation providers.",1
Ringil,https://www.crunchbase.com/organization/ringil,"Ringil is a platform for the digitization, management, and automation of freight logistics and transportation.",1
jobno.one,https://www.crunchbase.com/organization/jobno-one,Jobno.one provides recruitment solution with machine learning and artificial intelligence.,1
Wereldo.com,https://www.crunchbase.com/organization/wereldo-com,"Wereldo aims to revolutionize logistics by making it easier, faster, and more cost-efficient to move goods.",1
Disivo,https://www.crunchbase.com/organization/disivo,Diviso creates software that helps determine the pricing of company products.,1
GitGut.ai,https://www.crunchbase.com/organization/gitgut-ai,GitGut.ai develops an AI voice companion for League of Legends players.,0
Foxdeli,https://www.crunchbase.com/organization/foxdeli,Foxdeli provides post-purchase marketing solution for e-shops and shipment tracking.,1
Techloop.io,https://www.crunchbase.com/organization/techloop-io,Techloop.io is an anonymous recruitment marketplace for SW Developers.,1
DOT Glasses,https://www.crunchbase.com/organization/dot-glasses,DOT Glasses provides basic vision care for people in the developing world that can't afford glasses or have no access to them,1
Reas,https://www.crunchbase.com/organization/reas,Reasis is an online platform simplifying the process of sale and purchase of real estate with real-time market prices and analysis.,1
Pekat Vision,https://www.crunchbase.com/organization/pekat-vision,Pekat Vision is a provider of solutions for automated visual inspection in manufacturing sectors.,1
Davinci Travel System,https://www.crunchbase.com/organization/davinci-travel-system,DAVINCI travel system is B2B online platform for booking and management of group reservations at hotels.,1
BuiltMind,https://www.crunchbase.com/organization/builtmind,BuiltMind a software company that provides pricing tools and market analysis for real estate industries.,1
Logmanager,https://www.crunchbase.com/organization/logmanager,Logmanager is a log management platform enhanced with SIEM capabilities that radically simplifies response to cyberthreats.,1
Live Penalty,https://www.crunchbase.com/organization/live-penalty,Live Penalty connect the club´s most valuable physical assets with new digital markets to grow their fan base and sales.,0
Twigsee,https://www.crunchbase.com/organization/twigsee,All your school needs in one simple app.,0
Mindpax,https://www.crunchbase.com/organization/mindpax-me,Mindpax is a digital technology company that provides treatments for people who suffer from bipolar affective disorder and schizophrenia.,0
StreamBee,https://www.crunchbase.com/organization/streambee,StreamBee creates powerful analytics and tools to help streamers grow and succeed,1
Distro,https://www.crunchbase.com/organization/distro,"Direct to Consumer brand builder,  that aims to achieve massive scale by hitting a large addressable market with strong unit economics.",0
WeBoard,https://www.crunchbase.com/organization/weboard,"WeBoard is a software company that specializes in virtual reality training, digital HR, and artificial intelligence bot for employees.",1
Pealock,https://www.crunchbase.com/organization/pealock,HW (Electronic lock for sport equipment ) + SaaS + Insurtech = Pealock,0
PalmApp,https://www.crunchbase.com/organization/palmapp,PalmApp is an early wages access application and online service enabling payment of employee wages at any time in the month.,0
Goodbye,https://www.crunchbase.com/organization/goodbye,"Death-tech services (Funerals, Online Wills, Support Services)",0
Tuito,https://www.crunchbase.com/organization/tuito,Tuito give e-commerce shoppers straightforward insurance with a tempting offer.,0
Bevy,https://www.crunchbase.com/organization/bevy-f4c5,Bevy is a delivery services that utilizes electric cars to transport parcels and couriers.,1
Agdata.ag,https://www.crunchbase.com/organization/agdata-ag,Agdata is a farm management system that manages family farms.,1
